,genres,title,Movie_Average,Global_Average,Overall_Rating_Count
198,Animation,"Old Lady and the Pigeons, The (La vieille dame et les pigeons) (1997)",3.0,3.4863989231828714,3.0
199,Animation,Paperman (2012),4.428571428571429,3.4863989231828714,31.0
200,Animation,Paprika (Papurika) (2006),3.7777777777777777,3.4863989231828714,34.0
201,Animation,Persepolis (2007),4.181818181818182,3.4863989231828714,46.0
202,Animation,Peter Pan (1953),3.4863989231828714,3.4863989231828714,31.0
203,Animation,Pinocchio (1940),3.202702702702702,3.4863989231828714,96.0
204,Animation,Pocahontas (1995),3.4863989231828714,3.4863989231828714,65.0
205,Animation,Presto (2008),5.0,3.4863989231828714,5.0
206,Animation,"Prince of Egypt, The (1998)",3.7,3.4863989231828714,73.5
207,Animation,"Princess and the Frog, The (2009)",3.9,3.4863989231828714,39.0
208,Animation,Puss in Boots: The Three Diablos (2012),3.0,3.4863989231828714,3.0
209,Animation,"Road to El Dorado, The (2000)",2.9285714285714284,3.4863989231828714,15.0
210,Animation,"Rugrats Movie, The (1998)",3.4863989231828714,3.4863989231828714,3.0
211,Animation,Scooby-Doo Goes Hollywood (1979),5.0,3.4863989231828714,5.0
212,Animation,Scooby-Doo! and the Samurai Sword (2009),5.0,3.4863989231828714,5.0
213,Animation,"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)",3.5,3.4863989231828714,11.5
214,Animation,"Secret of Kells, The (2009)",4.0,3.4863989231828714,8.0
215,Animation,"Simpsons Movie, The (2007)",3.613636363636364,3.4863989231828714,148.5
216,Animation,Sleeping Beauty (1959),3.4863989231828714,3.4863989231828714,20.0
217,Animation,Small Soldiers (1998),3.4863989231828714,3.4863989231828714,13.0
218,Animation,Snow White and the Seven Dwarfs (1937),3.466666666666667,3.4863989231828714,145.5
219,Animation,Song of the Sea (2014),3.0,3.4863989231828714,3.0
220,Animation,"South Park: Bigger, Longer and Uncut (1999)",3.4863989231828714,3.4863989231828714,51.0
221,Animation,South Park: Imaginationland (2008),4.0,3.4863989231828714,32.0
222,Animation,Stitch! The Movie (2003),4.0,3.4863989231828714,8.0
223,Animation,Strange Magic (2015),3.0,3.4863989231828714,3.0
224,Animation,Stuart Little 3: Call of the Wild (2005),5.0,3.4863989231828714,5.0
225,Animation,"Swan Princess, The (1994)",3.4863989231828714,3.4863989231828714,7.0
226,Animation,"Sword in the Stone, The (1963)",3.4166666666666665,3.4863989231828714,52.0
227,Animation,Tangled (2010),3.928571428571429,3.4863989231828714,77.0
228,Animation,Tenchi Muyô! In Love (1996),5.0,3.4863989231828714,5.0
229,Animation,The Boss Baby (2017),3.875,3.4863989231828714,13.5
230,Animation,The Bremen Town Musicians (1969),5.0,3.4863989231828714,5.0
231,Animation,The Electric Hotel (1908),4.0,3.4863989231828714,4.0
232,Animation,The Little Prince (2015),2.25,3.4863989231828714,3.0
233,Animation,The Madagascar Penguins in a Christmas Caper (2005),3.5,3.4863989231828714,3.5
234,Animation,The Magic Ring (1982),4.5,3.4863989231828714,4.5
235,Animation,The Monkey King (1964),3.5,3.4863989231828714,3.5
236,Animation,The Secret Life of Pets (2016),3.0,3.4863989231828714,11.5
237,Animation,"Three Caballeros, The (1945)",3.4863989231828714,3.4863989231828714,12.0
238,Animation,Three from Prostokvashino (1978),5.0,3.4863989231828714,5.0
239,Animation,"Tigger Movie, The (2000)",4.5,3.4863989231828714,7.5
240,Animation,Tom and Jerry: A Nutcracker Tale (2007),5.0,3.4863989231828714,5.0
241,Animation,Tom and Jerry: Shiver Me Whiskers (2006),5.0,3.4863989231828714,5.0
242,Animation,"Town Called Panic, A (Panique au village) (2009)",3.75,3.4863989231828714,7.5
243,Animation,Travels of an Ant (1983),5.0,3.4863989231828714,5.0
244,Animation,Waking Life (2001),3.638888888888889,3.4863989231828714,60.5
245,Animation,Wallace & Gromit: A Close Shave (1995),3.772727272727273,3.4863989231828714,162.5
246,Animation,Wallace & Gromit: The Wrong Trousers (1993),3.4863989231828714,3.4863989231828714,36.0
247,Animation,Whisper of the Heart (Mimi wo sumaseba) (1995),3.8,3.4863989231828714,16.5
248,Animation,Winnie the Pooh Goes Visiting (1971),5.0,3.4863989231828714,5.0
249,Animation,Winnie the Pooh and Tigger Too (1974),3.5,3.4863989231828714,3.5
250,Animation,Winnie the Pooh and the Blustery Day (1968),3.2857142857142856,3.4863989231828714,19.0
251,Animation,Winnie the Pooh and the Honey Tree (1966),4.0,3.4863989231828714,4.0
252,Animation,Winter in Prostokvashino (1984),5.0,3.4863989231828714,5.0
253,Animation,Wolf Children (Okami kodomo no ame to yuki) (2012),4.0,3.4863989231828714,12.0
254,Animation,World of Tomorrow (2015),4.5,3.4863989231828714,9.0
255,Animation,Wow! A Talking Fish! (1983),5.0,3.4863989231828714,5.0
256,Animation,Wrinkles (Arrugas) (2011),4.0,3.4863989231828714,4.0
257,Animation,Your Name. (2016),4.0,3.4863989231828714,12.0
258,Animation,anohana: The Flower We Saw That Day - The Movie (2013),3.0,3.4863989231828714,3.0
259,Children,1776 (1972),3.5,3.4863989231828714,7.0
260,Children,"Absent-Minded Professor, The (1961)",3.4863989231828714,3.4863989231828714,9.0
261,Children,Addams Family Values (1993),3.202702702702702,3.4863989231828714,219.5
262,Children,"Addams Family, The (1991)",3.3548387096774195,3.4863989231828714,108.5
263,Children,Angels in the Outfield (1994),3.4863989231828714,3.4863989231828714,7.0
264,Children,Anne of Green Gables (1985),4.5,3.4863989231828714,13.5
265,Children,"Apple Dumpling Gang Rides Again, The (1979)",2.833333333333333,3.4863989231828714,6.0
266,Children,"Apple Dumpling Gang, The (1975)",2.833333333333333,3.4863989231828714,16.0
267,Children,Babe (1995),3.2105263157894735,3.4863989231828714,396.0
268,Children,Babes in Toyland (1961),2.875,3.4863989231828714,15.0
269,Children,"Baby-Sitters Club, The (1995)",2.25,3.4863989231828714,13.0
270,Children,Bad News Bears (2005),3.0,3.4863989231828714,6.0
271,Children,Beethoven (1992),1.7727272727272727,3.4863989231828714,10.0
272,Children,Beethoven's 2nd (1993),1.5,3.4863989231828714,3.0
273,Children,"Big Green, The (1995)",3.4863989231828714,3.4863989231828714,4.0
274,Children,"Black Hole, The (1979)",2.6,3.4863989231828714,14.0
275,Children,Bogus (1996),2.0,3.4863989231828714,3.0
276,Children,Bugsy Malone (1976),2.75,3.4863989231828714,3.0
277,Children,"Cat from Outer Space, The (1978)",3.0,3.4863989231828714,6.0
278,Children,Cats & Dogs (2001),2.7777777777777777,3.4863989231828714,17.5
279,Children,Charlotte's Web (2006),3.333333333333333,3.4863989231828714,7.5
280,Children,"Christmas Story, A (1983)",3.4863989231828714,3.4863989231828714,44.0
281,Children,Cinderella (2015),4.0,3.4863989231828714,4.0
282,Children,"Computer Wore Tennis Shoes, The (1969)",3.0,3.4863989231828714,12.0
283,Children,D2: The Mighty Ducks (1994),3.4863989231828714,3.4863989231828714,3.0
284,Children,Dunston Checks In (1996),2.375,3.4863989231828714,15.0
285,Children,E.T. the Extra-Terrestrial (1982),3.4863989231828714,3.4863989231828714,105.0
286,Children,Elf (2003),3.697368421052632,3.4863989231828714,134.0
287,Children,Ernest Saves Christmas (1988),1.625,3.4863989231828714,3.5
288,Children,Field of Dreams (1989),3.4863989231828714,3.4863989231828714,46.0
289,Children,First Kid (1996),3.4863989231828714,3.4863989231828714,6.0
290,Children,"Flintstones, The (1994)",3.4863989231828714,3.4863989231828714,48.0
291,Children,Flubber (1997),3.4863989231828714,3.4863989231828714,3.0
292,Children,Freaky Friday (1977),3.4863989231828714,3.4863989231828714,6.0
293,Children,Freaky Friday (2003),3.2045454545454546,3.4863989231828714,59.5
294,Children,George of the Jungle (1997),3.4863989231828714,3.4863989231828714,11.0
295,Children,Good Burger (1997),2.0,3.4863989231828714,3.5
296,Children,Gordy (1995),3.4863989231828714,3.4863989231828714,3.0
297,Children,"Great Muppet Caper, The (1981)",3.571428571428572,3.4863989231828714,33.0
298,Children,Harriet the Spy (1996),2.875,3.4863989231828714,25.0
299,Children,"Haunted Mansion, The (2003)",2.4375,3.4863989231828714,7.0
300,Children,Heavyweights (Heavy Weights) (1995),3.4863989231828714,3.4863989231828714,7.0
301,Children,Herbie Rides Again (1974),3.125,3.4863989231828714,11.0
302,Children,High School Musical (2006),2.0,3.4863989231828714,3.5
303,Children,Himizu (2011),3.5,3.4863989231828714,3.5
304,Children,Hocus Pocus (1993),3.4863989231828714,3.4863989231828714,6.0
305,Children,Home Alone 2: Lost in New York (1992),2.5576923076923075,3.4863989231828714,54.0
306,Children,"Honey, I Blew Up the Kid (1992)",3.4863989231828714,3.4863989231828714,6.0
307,Children,House Arrest (1996),3.4863989231828714,3.4863989231828714,7.0
308,Children,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),3.0645161290322585,3.4863989231828714,77.0
309,Children,Hugo (2011),3.75,3.4863989231828714,62.5
310,Children,Ice Princess (2005),3.333333333333333,3.4863989231828714,5.0
311,Children,It's a Wonderful Life (1946),3.4863989231828714,3.4863989231828714,34.0
312,Children,Jingle All the Way (1996),2.5,3.4863989231828714,39.0
313,Children,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),3.4863989231828714,3.4863989231828714,7.0
314,Children,Kazaam (1996),3.4863989231828714,3.4863989231828714,21.0
315,Children,Kit Kittredge: An American Girl (2008),3.0,3.4863989231828714,4.0
316,Children,"Little Princess, A (1995)",3.4863989231828714,3.4863989231828714,32.0
317,Children,"Little Princess, The (1939)",3.0,3.4863989231828714,3.0
318,Children,"Little Rascals, The (1994)",2.5,3.4863989231828714,17.5
319,Children,Look Who's Talking Now (1993),1.5833333333333333,3.4863989231828714,3.5
320,Children,"Love Bug, The (1969)",3.4863989231828714,3.4863989231828714,3.0
321,Children,Mary Poppins (1964),3.8846153846153846,3.4863989231828714,249.0
322,Children,Matilda (1996),3.363636363636364,3.4863989231828714,65.5
323,Children,"Mighty Ducks, The (1992)",3.4863989231828714,3.4863989231828714,9.0
324,Children,Monsieur Lazhar (2011),4.5,3.4863989231828714,9.0
325,Children,"Muppet Christmas Carol, The (1992)",3.6875,3.4863989231828714,68.5
326,Children,Muppets From Space (1999),3.4863989231828714,3.4863989231828714,10.0
327,Children,"Muppets Take Manhattan, The (1984)",3.4863989231828714,3.4863989231828714,6.0
328,Children,"Music Man, The (1962)",3.9,3.4863989231828714,19.5
329,Children,My Dog Skip (1999),3.3125,3.4863989231828714,32.0
330,Children,National Velvet (1944),3.75,3.4863989231828714,7.5
331,Children,Now and Then (1995),3.0,3.4863989231828714,7.5
332,Children,Old Yeller (1957),3.4,3.4863989231828714,19.0
333,Children,"Parent Trap, The (1961)",3.4863989231828714,3.4863989231828714,6.0
334,Children,"Parent Trap, The (1998)",3.4863989231828714,3.4863989231828714,3.0
335,Children,Pinocchio (2002),3.5,3.4863989231828714,3.5
336,Children,Please Don't Eat the Daisies (1960),3.5,3.4863989231828714,7.0
337,Children,Pollyanna (1960),3.4863989231828714,3.4863989231828714,6.0
338,Children,Prancer (1989),3.0,3.4863989231828714,6.0
339,Children,"Princess Diaries, The (2001)",3.0416666666666665,3.4863989231828714,60.5
340,Children,"Railway Children, The (1970)",4.0,3.4863989231828714,4.0
341,Children,Return from Witch Mountain (1978),3.4863989231828714,3.4863989231828714,3.0
342,Children,Richie Rich (1994),3.4863989231828714,3.4863989231828714,23.0
343,Children,"Sandlot, The (1993)",3.4130434782608696,3.4863989231828714,67.0
344,Children,"Santa Clause 2, The (2002)",2.3,3.4863989231828714,6.0
345,Children,"Secret Garden, The (1993)",3.4863989231828714,3.4863989231828714,37.0
346,Children,"Secret of Roan Inish, The (1994)",3.4863989231828714,3.4863989231828714,45.0
347,Children,"Shaggy D.A., The (1976)",3.4863989231828714,3.4863989231828714,3.0
